order_id,date,customer_id,product,category,sales,price,cost,payment_status
SALE-2FDC5653,2026-01-29T21:53:02.184000,CUST-LIVE-1345,Steam Iron Pro,Home Appliances,2,3200.0,2560.0,Completed
SALE-C47543A0,2026-02-23T06:18:02.184000,CUST-LIVE-1220,Washing Machine 7Kg,Home Appliances,2,28000.0,22400.0,Completed
SALE-A2054E17,2025-10-13T23:38:02.184000,CUST-LIVE-1114,Water Purifier RO,Kitchenware,2,15500.0,12400.0,Completed
SALE-D82C3A5A,2025-11-20T12:03:02.184000,CUST-LIVE-1323,Bluetooth Soundbar,Electronics,2,8500.0,6800.0,Completed
SALE-05609384,2026-01-26T02:10:02.184000,CUST-LIVE-1462,Personal Grooming Kit,Personal Care,3,2500.0,2000.0,Completed
SALE-77ADEA0D,2025-11-17T06:59:02.184000,CUST-LIVE-1044,Washing Machine 7Kg,Home Appliances,1,28000.0,22400.0,Completed
SALE-A07E2E3D,2026-03-07T01:13:02.184000,CUST-LIVE-1091,Water Purifier RO,Kitchenware,2,15500.0,12400.0,Completed
SALE-EC29B735,2025-11-17T05:46:02.184000,CUST-LIVE-1208,Smart Fridge 400L,Home Appliances,2,75000.0,60000.0,Completed
SALE-4C5317ED,2025-11-15T09:33:02.184000,CUST-LIVE-1337,Vacuum Cleaner,Home Appliances,3,9500.0,7600.0,Completed
SALE-5DF6588A,2026-03-11T09:43:02.184000,CUST-LIVE-1069,CCTV Security Camera,Security,3,3500.0,2800.0,Completed
SALE-692B9050,2026-02-02T11:45:02.184000,CUST-LIVE-1381,Bluetooth Soundbar,Electronics,1,8500.0,6800.0,Completed
SALE-96EBF6D4,2025-10-20T06:46:02.184000,CUST-LIVE-1212,"Smart LED TV 55""",Electronics,3,45000.0,36000.0,Completed
SALE-DEAE84B1,2026-02-22T04:54:02.184000,CUST-LIVE-1500,Coffee Maker Elite,Kitchenware,1,5500.0,4400.0,Completed
SALE-6536879F,2026-02-20T09:28:02.184000,CUST-LIVE-1113,Bluetooth Soundbar,Electronics,3,8500.0,6800.0,Completed
SALE-A7642E98,2025-11-13T22:36:02.184000,CUST-LIVE-1095,Water Purifier RO,Kitchenware,2,15500.0,12400.0,Completed
SALE-712D712B,2026-02-03T21:33:02.184000,CUST-LIVE-1475,Coffee Maker Elite,Kitchenware,3,5500.0,4400.0,Completed
SALE-9B8FB7A6,2025-11-09T05:54:02.184000,CUST-LIVE-1246,Vacuum Cleaner,Home Appliances,2,9500.0,7600.0,Completed
SALE-62725D80,2026-02-22T15:47:02.184000,CUST-LIVE-1268,Electric Kettle 1.5L,Kitchenware,3,1800.0,1440.0,Completed
SALE-DAA5343A,2026-02-13T16:16:02.184000,CUST-LIVE-1272,Electric Kettle 1.5L,Kitchenware,3,1800.0,1440.0,Completed
SALE-461B86E7,2026-03-08T12:22:02.184000,CUST-LIVE-1081,Washing Machine 7Kg,Home Appliances,2,28000.0,22400.0,Completed
SALE-75973692,2026-03-10T17:23:02.184000,CUST-LIVE-1343,CCTV Security Camera,Security,2,3500.0,2800.0,Completed
SALE-8DE77258,2025-11-01T03:36:02.184000,CUST-LIVE-1164,Microwave Oven,Kitchenware,2,12000.0,9600.0,Completed
SALE-0348A38F,2026-01-15T11:00:02.184000,CUST-LIVE-1153,CCTV Security Camera,Security,1,3500.0,2800.0,Completed
SALE-D936C25D,2026-01-18T15:50:02.184000,CUST-LIVE-1397,Wireless Headphones,Electronics,3,4200.0,3360.0,Completed
SALE-A575E44A,2025-12-18T10:15:02.184000,CUST-LIVE-1310,CCTV Security Camera,Security,3,3500.0,2800.0,Completed
SALE-AD7E960C,2025-11-24T06:16:02.184000,CUST-LIVE-1105,Electric Kettle 1.5L,Kitchenware,3,1800.0,1440.0,Completed
SALE-4285CDD7,2025-12-27T16:04:02.184000,CUST-LIVE-1191,Electric Kettle 1.5L,Kitchenware,3,1800.0,1440.0,Completed
SALE-C0FFFD51,2025-11-11T12:52:02.184000,CUST-LIVE-1322,Vacuum Cleaner,Home Appliances,2,9500.0,7600.0,Completed
SALE-3CCF1CB7,2025-12-03T05:14:02.184000,CUST-LIVE-1079,Water Purifier RO,Kitchenware,3,15500.0,12400.0,Completed
SALE-C922A275,2026-01-22T06:49:02.184000,CUST-LIVE-1395,Microwave Oven,Kitchenware,2,12000.0,9600.0,Completed
SALE-10F1A0B0,2026-01-12T20:35:02.184000,CUST-LIVE-1052,CCTV Security Camera,Security,2,3500.0,2800.0,Completed
SALE-A6D049EB,2025-09-27T14:55:02.184000,CUST-LIVE-1406,CCTV Security Camera,Security,2,3500.0,2800.0,Completed
SALE-540FA16F,2026-03-09T04:01:02.184000,CUST-LIVE-1204,"Smart LED TV 55""",Electronics,3,45000.0,36000.0,Completed
SALE-29E42B5E,2025-10-26T08:02:02.184000,CUST-LIVE-1380,Coffee Maker Elite,Kitchenware,3,5500.0,4400.0,Completed
SALE-D6A7F49A,2026-01-16T12:38:02.184000,CUST-LIVE-1153,CCTV Security Camera,Security,3,3500.0,2800.0,Completed
SALE-57EB90E2,2026-01-19T18:42:02.184000,CUST-LIVE-1368,Electric Kettle 1.5L,Kitchenware,2,1800.0,1440.0,Completed
SALE-4C8C05E8,2026-02-12T03:20:02.184000,CUST-LIVE-1020,Wireless Headphones,Electronics,3,4200.0,3360.0,Completed
SALE-6FDE7C34,2025-10-05T14:44:02.184000,CUST-LIVE-1040,"Smart LED TV 55""",Electronics,2,45000.0,36000.0,Completed
SALE-531F71B6,2025-10-18T17:14:02.184000,CUST-LIVE-1205,Bluetooth Soundbar,Electronics,2,8500.0,6800.0,Completed
SALE-2576F016,2025-11-18T14:30:02.184000,CUST-LIVE-1490,Microwave Oven,Kitchenware,2,12000.0,9600.0,Completed
SALE-86226532,2026-01-02T17:58:02.184000,CUST-LIVE-1136,Digital Wall Clock,Electronics,1,1500.0,1200.0,Completed
SALE-DF9BAE4B,2026-02-19T22:27:02.184000,CUST-LIVE-1089,Electric Kettle 1.5L,Kitchenware,2,1800.0,1440.0,Completed
SALE-FDBDF6A0,2025-11-29T05:41:02.184000,CUST-LIVE-1033,Wireless Headphones,Electronics,3,4200.0,3360.0,Completed
